ㄅㄚ	ba
ㄅㄚˊ	ba2
ㄅㄚˇ	ba3
ㄅㄚˋ	ba4
˙ㄅㄚ	ba5
ㄅㄛ	bo
ㄅㄛˊ	bo2
ㄅㄛˇ	bo3
ㄅㄛˋ	bo4
˙ㄅㄛ	bo5
ㄅㄞ	bai
ㄅㄞˊ	bai2
ㄅㄞˇ	bai3
ㄅㄞˋ	bai4
˙ㄅㄞ	bai5
ㄅㄟ	bei
ㄅㄟˇ	bei3
ㄅㄟˋ	bei4
˙ㄅㄟ	bei5
ㄅㄠ	bao
ㄅㄠˊ	bao2
ㄅㄠˇ	bao3
ㄅㄠˋ	bao4
ㄅㄢ	ban
ㄅㄢˇ	ban3
ㄅㄢˋ	ban4
ㄅㄣ	ben
ㄅㄣˇ	ben3
ㄅㄣˋ	ben4
ㄅㄤ	bang
ㄅㄤˇ	bang3
ㄅㄤˋ	bang4
ㄅㄥ	beng
ㄅㄥˊ	beng2
ㄅㄥˇ	beng3
ㄅㄥˋ	beng4
ㄅㄧ	bi
ㄅㄧˊ	bi2
ㄅㄧˇ	bi3
ㄅㄧˋ	bi4
ㄅㄧㄝ	bie
ㄅㄧㄝˊ	bie2
ㄅㄧㄝˇ	bie3
ㄅㄧㄝˋ	bie4
ㄅㄧㄠ	biao
ㄅㄧㄠˇ	biao3
ㄅㄧㄠˋ	biao4
ㄅㄧㄢ	bian
ㄅㄧㄢˊ	bian2
ㄅㄧㄢˇ	bian3
ㄅㄧㄢˋ	bian4
ㄅㄧㄣ	bin
ㄅㄧㄣˇ	bin3
ㄅㄧㄣˋ	bin4
ㄅㄧㄥ	bing
ㄅㄧㄥˇ	bing3
ㄅㄧㄥˋ	bing4
ㄅㄨ	bu
ㄅㄨˊ	bu2
ㄅㄨˇ	bu3
ㄅㄨˋ	bu4
ㄆㄚ	pa
ㄆㄚˊ	pa2
ㄆㄚˇ	pa3
ㄆㄚˋ	pa4
˙ㄆㄚ	pa5
ㄆㄛ	po
ㄆㄛˊ	po2
ㄆㄛˇ	po3
ㄆㄛˋ	po4
ㄆㄞ	pai
ㄆㄞˊ	pai2
ㄆㄞˇ	pai3
ㄆㄞˋ	pai4
ㄆㄟ	pei
ㄆㄟˊ	pei2
ㄆㄟˇ	pei3
ㄆㄟˋ	pei4
ㄆㄠ	pao
ㄆㄠˊ	pao2
ㄆㄠˇ	pao3
ㄆㄠˋ	pao4
ㄆㄡ	pou
ㄆㄡˊ	pou2
ㄆㄡˇ	pou3
ㄆㄡˋ	pou4
ㄆㄢ	pan
ㄆㄢˊ	pan2
ㄆㄢˇ	pan3
ㄆㄢˋ	pan4
ㄆㄣ	pen
ㄆㄣˊ	pen2
ㄆㄣˇ	pen3
ㄆㄣˋ	pen4
ㄆㄤ	pang
ㄆㄤˊ	pang2
ㄆㄤˇ	pang3
ㄆㄤˋ	pang4
ㄆㄥ	peng
ㄆㄥˊ	peng2
ㄆㄥˇ	peng3
ㄆㄥˋ	peng4
ㄆㄧ	pi
ㄆㄧˊ	pi2
ㄆㄧˇ	pi3
ㄆㄧˋ	pi4
ㄆㄧㄚ	pia
ㄆㄧㄝ	pie
ㄆㄧㄝˇ	pie3
ㄆㄧㄝˋ	pie4
ㄆㄧㄠ	piao
ㄆㄧㄠˊ	piao2
ㄆㄧㄠˇ	piao3
ㄆㄧㄠˋ	piao4
ㄆㄧㄢ	pian
ㄆㄧㄢˊ	pian2
ㄆㄧㄢˇ	pian3
ㄆㄧㄢˋ	pian4
ㄆㄧㄣ	pin
ㄆㄧㄣˊ	pin2
ㄆㄧㄣˇ	pin3
ㄆㄧㄣˋ	pin4
ㄆㄧㄥ	ping
